"","Position","Window.size","r.squared","Fold","ROI"
"256","masked_pre",121,0.548997478127864,4,1
"257","masked_pre",121,0.532707127429241,10,1
"258","masked_pre",121,0.56160244102282,8,1
"259","masked_pre",121,0.521046202018805,5,1
"260","masked_pre",121,0.535029549162043,9,1
"261","masked_pre",131,0.466026120165868,3,0
"262","masked_pre",131,0.475495516227428,2,0
"263","masked_pre",131,0.451656860977188,1,0
"264","masked_pre",131,0.436706588497859,6,0
"265","masked_pre",131,0.436042673559462,7,0
"266","masked_pre",131,0.437821290840838,4,0
"267","masked_pre",131,0.462699082356087,10,0
"268","masked_pre",131,0.444331953951298,8,0
"269","masked_pre",131,0.450486520077035,5,0
"270","masked_pre",131,0.451266077414829,9,0
"271","masked_pre",131,0.545931710127684,3,1
"272","masked_pre",131,0.552386236202495,2,1
"273","masked_pre",131,0.560684471055214,1,1
"274","masked_pre",131,0.551371600986756,6,1
"275","masked_pre",131,0.553897015219298,7,1
"276","masked_pre",131,0.563338389071833,4,1
"277","masked_pre",131,0.545999868927738,10,1
"278","masked_pre",131,0.57692975683228,8,1
"279","masked_pre",131,0.535078306029554,5,1
"280","masked_pre",131,0.551219021326013,9,1
"281","masked_pre",141,0.478390957623881,3,0
"282","masked_pre",141,0.485793656835673,2,0
"283","masked_pre",141,0.462058656980193,1,0
"284","masked_pre",141,0.447687263404055,6,0
"285","masked_pre",141,0.445986968030393,7,0
"286","masked_pre",141,0.448447456388276,4,0
"287","masked_pre",141,0.473578400450008,10,0
"288","masked_pre",141,0.456344654509401,8,0
"289","masked_pre",141,0.463075502380615,5,0
"290","masked_pre",141,0.462313142754742,9,0
"291","masked_pre",141,0.557037061881285,3,1
"292","masked_pre",141,0.564618816641083,2,1
"293","masked_pre",141,0.573538453355431,1,1
"294","masked_pre",141,0.563844560327727,6,1
"295","masked_pre",141,0.566486365472674,7,1
"296","masked_pre",141,0.576485959631337,4,1
"297","masked_pre",141,0.557343425037064,10,1
"298","masked_pre",141,0.591203492506746,8,1
"299","masked_pre",141,0.548361596489147,5,1
"300","masked_pre",141,0.564653992204964,9,1
"301","masked_pre",151,0.487378698828347,3,0
"302","masked_pre",151,0.495226220439796,2,0
"303","masked_pre",151,0.4710514617765,1,0
"304","masked_pre",151,0.456812945136687,6,0
"305","masked_pre",151,0.455097382987468,7,0
"306","masked_pre",151,0.457019418294541,4,0
"307","masked_pre",151,0.483597331434096,10,0
"308","masked_pre",151,0.465314684458397,8,0
"309","masked_pre",151,0.47265445052905,5,0
"310","masked_pre",151,0.470896207382666,9,0
"311","masked_pre",151,0.567522943382909,3,1
"312","masked_pre",151,0.576009206332566,2,1
"313","masked_pre",151,0.584948762015294,1,1
"314","masked_pre",151,0.577089739693138,6,1
"315","masked_pre",151,0.579429096276244,7,1
"316","masked_pre",151,0.58941817735949,4,1
